state,State ID,Year,Annual total output emissions type,BIT,RFO,NG,NUC,WND
NY,36,2021,NOx,N/A,27.637,0.735,N/A,0
NY,36,2021,NOx Ozone Season,N/A,25.148,0.628,N/A,0
NY,36,2021,SO2,N/A,3.141,0.007,N/A,0
NY,36,2021,VOC,N/A,0.057,0.0292,N/A,0
NY,36,2021,PM2.5,N/A,0.042,0.0466,N/A,0
NH,33,2021,NOx,2.535,37.124,0.958,N/A,N/A
NH,33,2021,NOx Ozone Season,3.68,53.34,0.831,N/A,N/A
NH,33,2021,SO2,1.387,2.479,0.012,N/A,N/A
NH,33,2021,VOC,0.0476,0.0505,0.0119,0,0
NH,33,2021,PM2.5,0.234791929,0.0756,0.03871213,0,0
ME,23,2021,NOx,N/A,18.438,0.244,N/A,N/A
ME,23,2021,NOx Ozone Season,N/A,18.326,0.121,N/A,N/A
ME,23,2021,SO2,N/A,6.225,0.006,N/A,N/A
ME,23,2021,VOC,N/A,0.0562,0.0106,N/A,0
ME,23,2021,PM2.5,N/A,0.1563,0.0192,N/A,0
CT,9,2021,NOx,N/A,31.931,1.645,N/A (no info),N/A (no info)
CT,9,2021,NOx Ozone Season,N/A,31.939,1.505,N/A (no info),N/A (no info)
CT,9,2021,SO2,N/A,2.998,0.018,N/A (no info),N/A (no info)
CT,9,2021,VOC,N/A,0.1714,0.0064,0,0
CT,9,2021,PM2.5,0,0.3618,0.01,0,0
VT,50,2021,NOx,N/A,21.475,N/A,N/A,N/A (no info)
VT,50,2021,NOx Ozone Season,N/A,18.66,N/A,N/A,N/A (no info)
VT,50,2021,SO2,N/A,7.314,N/A,N/A,N/A (no info)
VT,50,2021,VOC,N/A,N/A,N/A,N/A,0
VT,50,2021,PM2.5,N/A,N/A,N/A,N/A,0
RI,44,2021,NOx,N/A,47,0.272,N/A,N/A (no info)
RI,44,2021,NOx Ozone Season,N/A,38,0.253,N/A,N/A (no info)
RI,44,2021,SO2,N/A,4.3,0.006,N/A,N/A (no info)
RI,44,2021,VOC,N/A,N/A,N/A,N/A,0
RI,44,2021,PM2.5,N/A,N/A,N/A,N/A,0
MA,25,2021,NOx,N/A,32.725,0.923,N/A,N/A (no info)
MA,25,2021,NOx Ozone Season,N/A,32.809,0.971,N/A,N/A (no info)
MA,25,2021,SO2,N/A,3.034,0.017,N/A,N/A (no info)
MA,25,2021,VOC,N/A,0.0159,0.0217,N/A,0
MA,25,2021,PM2.5,N/A,0.076754588,0.0454,N/A,0

